1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
"2003-03-07","8320","8380","8130","8140","330870","8140"
"2003-03-10","8100","8140","8020","8100","221260","8100"
"2003-03-11","7980","8090","7860","7870","354210","7870"
"2003-03-12","7970","8020","7910","7970","114570","7970"
"2003-03-13","7980","8020","7910","7910","69680","7910"
"2003-03-14","8110","8120","8000","8060","131330","8060"
"2003-03-17","8120","8120","7850","7850","151640","7850"
"2003-03-18","8090","8120","7980","7990","130790","7990"
"2003-03-19","8000","8140","7860","8140","242360","8140"
"2003-03-20","8150","8320","8150","8210","259360","8210"
"2003-03-24","8400","8480","8390","8440","394080","8440"
"2003-03-25","8300","8410","8250","8250","273680","8250"
"2003-03-26","8330","8460","8330","8450","132970","8450"
"2003-03-27","8410","8440","8390","8410","101390","8410"
"2003-03-28","8380","8410","8320","8370","88390","8370"
"2003-03-31","8290","8300","7960","7960","223140","7960"
"2003-04-01","7930","8090","7930","8060","233250","8060"
"2003-04-02","8140","8160","7980","8160","113010","8160"
"2003-04-03","8270","8270","8060","8060","132570","8060"
"2003-04-04","8050","8180","8030","8180","76510","8180"
"2003-04-07","8200","8370","8160","8350","138400","8350"
"2003-04-08","8260","8260","8150","8220","141910","8220"
"2003-04-09","8140","8230","8080","8110","79140","8110"
"2003-04-10","8090","8100","8010","8040","81730","8040"
"2003-04-11","8060","8060","7880","7930","276670","7930"
"2003-04-14","7920","7960","7770","7830","231270","7830"
"2003-04-15","7900","7970","7870","7940","140340","7940"
"2003-04-16","8010","8010","7930","7950","57720","7950"
"2003-04-17","7880","7930","7870","7900","80250","7900"
"2003-04-18","7950","7970","7940","7940","41100","7940"
"2003-04-21","7950","8070","7930","8040","87570","8040"
"2003-04-22","8040","8040","7810","7830","183240","7830"
"2003-04-23","7900","7970","7820","7880","79800","7880"
"2003-04-24","7930","8010","7880","7910","96430","7910"
"2003-04-25","7820","7830","7720","7790","289510","7790"
"2003-04-28","7700","7760","7680","7700","173000","7700"
"2003-04-30","7820","7900","7800","7870","166510","7870"
"2003-05-01","7870","7970","7810","7930","115840","7930"
"2003-05-02","7940","7990","7860","7990","86430","7990"
"2003-05-06","8090","8200","8080","8140","397280","8140"
"2003-05-07","8180","8220","8130","8130","177970","8130"
"2003-05-08","8100","8140","8090","8090","111630","8090"
"2003-05-09","8060","8220","8050","8210","124080","8210"
"2003-05-12","8270","8310","8220","8310","165920","8310"
"2003-05-13","8320","8400","8260","8280","227130","8280"
"2003-05-14","8280","8340","8260","8290","129810","8290"
"2003-05-15","8290","8290","8150","8200","93680","8200"
"2003-05-16","8220","8220","8160","8190","95760","8190"
"2003-05-19","8150","8170","8050","8140","167490","8140"
"2003-05-20","8040","8180","8030","8150","91330","8150"
"2003-05-21","8110","8200","8050","8080","110520","8080"
"2003-05-22","8100","8150","8080","8120","89000","8120"
"2003-05-23","8200","8280","8170","8260","119680","8260"
"2003-05-26","8270","8340","8260","8290","99020","8290"
"2003-05-27","8270","8290","8180","8200","69130","8200"
"2003-05-28","8310","8370","8310","8330","151190","8330"
"2003-05-29","8370","8450","8330","8430","305080","8430"
"2003-05-30","8430","8540","8430","8480","217810","8480"
"2003-06-02","8560","8680","8550","8640","321220","8640"
"2003-06-03","8630","8680","8560","8650","164340","8650"
"2003-06-04","8660","8740","8620","8640","226440","8640"
"2003-06-05","8770","8770","8680","8720","171080","8720"
"2003-06-06","8750","8880","8700","8830","268410","8830"
"2003-06-09","8880","8950","8810","8890","200960","8890"
"2003-06-10","8800","8880","8780","8830","90230","8830"
"2003-06-11","8910","9090","8910","8960","403310","8960"
"2003-06-12","9050","9090","8960","8970","255610","8970"
"2003-06-13","9000","9090","8950","9040","273860","9040"
"2003-06-16","8980","8990","8890","8900","133630","8900"
"2003-06-17","9090","9130","9050","9120","264690","9120"
"2003-06-18","9150","9250","9140","9160","318650","9160"
"2003-06-19","9170","9220","9060","9220","184160","9220"
"2003-06-20","9100","9190","9100","9180","143400","9180"
"2003-06-23","9200","9240","9140","9220","156120","9220"
"2003-06-24","9100","9160","8960","9000","246180","9000"
"2003-06-25","9000","9050","8980","9030","68230","9030"
"2003-06-26","8990","9020","8920","9000","127490","9000"
"2003-06-27","9100","9200","9100","9180","433300","9180"
"2003-06-30","9150","9200","9140","9180","77470","9180"
"2003-07-01","9150","9360","9150","9360","531710","9360"
"2003-07-02","9410","9670","9410","9640","1077900","9640"
"2003-07-03","9850","9870","9470","9580","785950","9580"
"2003-07-04","9430","9630","9430","9590","194520","9590"
"2003-07-07","9610","9820","9590","9780","306530","9780"
"2003-07-08","9990","10000","9840","9870","505430","9870"
"2003-07-09","9920","9990","9800","9960","371010","9960"
"2003-07-10","9960","10060","9910","9910","330020","9910"
"2003-07-11","9810","9810","9580","9590","380150","9590"
"2003-07-14","9700","9780","9650","9720","110110","9720"
"2003-07-15","9890","9890","9730","9750","202670","9750"
"2003-07-16","9820","9840","9620","9710","180670","9710"
"2003-07-17","9580","9600","9480","9510","129780","9510"
"2003-07-18","9430","9570","9420","9520","101500","9520"
"2003-07-22","9490","9520","9400","9470","129390","9470"
"2003-07-23","9590","9620","9550","9620","92560","9620"
"2003-07-24","9640","9710","9550","9550","108050","9550"
"2003-07-25","9610","9680","9550","9660","138180","9660"
"2003-07-28","9800","9850","9750","9850","135460","9850"
"2003-07-29","9900","9920","9810","9830","115980","9830"
"2003-07-30","9810","9810","9590","9590","116980","9590"
"2003-07-31","9600","9630","9490","9570","184820","9570"
"2003-08-01","9650","9650","9510","9540","119160","9540"
"2003-08-04","9480","9510","9430","9450","93180","9450"
"2003-08-05","9450","9450","9290","9400","207810","9400"
"2003-08-06","9260","9360","9240","9340","205500","9340"
"2003-08-07","9330","9330","9210","9270","172170","9270"
"2003-08-08","9270","9350","9230","9290","85160","9290"
"2003-08-11","9350","9480","9330","9480","151200","9480"
"2003-08-12","9540","9600","9510","9560","123770","9560"
"2003-08-13","9660","9750","9630","9700","174040","9700"
"2003-08-14","9750","9910","9650","9890","259170","9890"
"2003-08-15","9940","10020","9830","9860","286460","9860"
"2003-08-18","9960","10040","9930","10040","243560","10040"
"2003-08-19","10120","10230","10120","10210","376350","10210"
"2003-08-20","10220","10320","10150","10280","202830","10280"
"2003-08-21","10200","10360","10180","10350","168110","10350"
"2003-08-22","10400","10400","10240","10300","136400","10300"
"2003-08-25","10250","10320","10190","10240","108970","10240"
"2003-08-26","10220","10360","10160","10340","256290","10340"
"2003-08-27","10360","10400","10240","10240","116420","10240"
"2003-08-28","10330","10330","10180","10210","151300","10210"
"2003-08-29","10310","10350","10260","10300","178240","10300"
"2003-09-01","10370","10650","10350","10620","433690","10620"
"2003-09-02","10670","10730","10600","10720","252730","10720"
"2003-09-03","10790","10790","10580","10680","232440","10680"
"2003-09-04","10760","10770","10630","10630","256880","10630"
"2003-09-05","10710","10710","10580","10600","195700","10600"
"2003-09-08","10550","10710","10530","10650","91760","10650"
"2003-09-09","10750","10920","10750","10920","287320","10920"
"2003-09-10","10840","10920","10820","10840","283140","10840"
"2003-09-11","10750","10760","10520","10540","259160","10540"
"2003-09-12","10610","10730","10600","10720","146990","10720"
"2003-09-16","10790","10900","10750","10890","346570","10890"
"2003-09-17","11100","11100","10910","10910","422540","10910"
"2003-09-18","10900","11070","10850","11050","304830","11050"
"2003-09-19","11180","11180","10920","10940","242560","10940"
"2003-09-22","10800","10800","10400","10460","414730","10460"
"2003-09-24","10520","10650","10350","10450","528670","10450"
"2003-09-25","10340","10380","10220","10240","302970","10240"
"2003-09-26","10180","10370","10180","10320","168630","10320"
"2003-09-29","10280","10310","10150","10180","191410","10180"
"2003-09-30","10320","10440","10250","10250","157550","10250"
"2003-10-01","10220","10380","10180","10350","134160","10350"
"2003-10-02","10560","10680","10470","10670","360550","10670"
"2003-10-03","10640","10740","10600","10730","169730","10730"
"2003-10-06","10870","10920","10720","10720","265620","10720"
"2003-10-07","10810","10880","10710","10830","91940","10830"
"2003-10-08","10770","10800","10500","10510","338800","10510"
"2003-10-09","10560","10610","10490","10500","145750","10500"
"2003-10-10","10640","10860","10590","10790","278110","10790"
"2003-10-14","10930","11030","10890","10920","358870","10920"
"2003-10-15","11030","11030","10860","10870","244660","10870"
"2003-10-16","10880","11040","10830","10990","221740","10990"
"2003-10-17","11070","11130","10980","11010","282350","11010"
"2003-10-20","10960","11230","10870","11160","292710","11160"
"2003-10-21","11220","11240","11000","11060","253530","11060"
"2003-10-22","11070","11070","10850","10870","235160","10870"
"2003-10-23","10620","10650","10260","10280","569580","10280"
"2003-10-24","10440","10490","10200","10400","311730","10400"
"2003-10-27","10360","10490","10360","10450","170360","10450"
"2003-10-28","10520","10600","10460","10520","188780","10520"
"2003-10-29","10720","10820","10670","10720","258670","10720"
"2003-10-30","10700","10770","10640","10670","120630","10670"
"2003-10-31","10730","10780","10530","10600","166600","10600"
"2003-11-04","10860","10890","10780","10870","254270","10870"
"2003-11-05","10800","10850","10670","10840","167780","10840"
"2003-11-06","10820","10820","10510","10530","257290","10530"
"2003-11-07","10610","10640","10480","10640","212060","10640"
"2003-11-10","10570","10630","10480","10540","167470","10540"
"2003-11-11","10400","10400","10120","10260","510740","10260"
"2003-11-12","10250","10340","10160","10220","162410","10220"
"2003-11-13","10420","10450","10280","10320","246290","10320"
"2003-11-14","10380","10380","10170","10190","209950","10190"
"2003-11-17","10060","10060","9750","9760","660330","9760"
"2003-11-18","9780","9920","9700","9900","275990","9900"
"2003-11-19","9740","9750","9610","9650","361750","9650"
"2003-11-20","9800","9900","9660","9870","294120","9870"
"2003-11-21","9750","9900","9750","9850","182450","9850"
"2003-11-25","10000","10070","9960","10010","249810","10010"
"2003-11-26","9990","10170","9990","10160","192540","10160"
"2003-11-27","10150","10180","10080","10150","108300","10150"
"2003-11-28","10160","10160","10040","10150","185590","10150"
"2003-12-01","9990","10450","9910","10410","421860","10410"
"2003-12-02","10460","10560","10370","10380","305850","10380"
"2003-12-03","10390","10490","10330","10360","145950","10360"
"2003-12-04","10340","10460","10340","10420","129790","10420"
"2003-12-05","10410","10470","10330","10380","291660","10380"
"2003-12-08","10280","10280","10020","10090","555900","10090"
"2003-12-09","10150","10170","10010","10100","139740","10100"
"2003-12-10","10010","10020","9870","9950","310050","9950"
"2003-12-11","10000","10100","9980","10080","183790","10080"
"2003-12-12","10230","10240","10110","10170","280070","10170"
"2003-12-15","10430","10510","10400","10450","474030","10450"
"2003-12-16","10210","10300","10200","10270","243300","10270"
"2003-12-17","10290","10300","10060","10100","181070","10100"
"2003-12-18","10140","10180","10090","10100","185770","10100"
"2003-12-19","10240","10320","10230","10270","272930","10270"
"2003-12-22","10240","10400","10240","10340","79990","10340"
"2003-12-24","10430","10430","10330","10340","158300","10340"
"2003-12-25","10370","10400","10330","10400","113200","10400"
"2003-12-26","10380","10470","10360","10420","141720","10420"
"2003-12-29","10460","10590","10460","10470","297920","10470"
"2003-12-30","10640","10740","10630","10720","293030","10720"
