1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
"2002-08-14","9640","9690","9630","9660","53340","9660"
"2002-08-15","9800","9860","9770","9790","72450","9790"
"2002-08-16","9890","9900","9730","9830","104000","9830"
"2002-08-19","9790","9790","9510","9610","233420","9610"
"2002-08-20","9750","9760","9580","9630","135710","9630"
"2002-08-21","9550","9720","9520","9600","121680","9600"
"2002-08-22","9660","9860","9580","9800","192540","9800"
"2002-08-23","9850","9980","9850","9880","146810","9880"
"2002-08-26","9780","10160","9780","10100","428680","10100"
"2002-08-27","10030","10080","9900","9920","152050","9920"
"2002-08-28","9900","9970","9760","9810","238950","9810"
"2002-08-29","9710","9720","9580","9620","271220","9620"
"2002-08-30","9660","9690","9540","9600","200910","9600"
"2002-09-02","9560","9570","9490","9510","175250","9510"
"2002-09-03","9490","9500","9230","9260","744660","9260"
"2002-09-04","9060","9180","9010","9090","313460","9090"
"2002-09-05","9190","9300","9090","9220","257410","9220"
"2002-09-06","9100","9160","8970","9110","504360","9110"
"2002-09-09","9270","9360","9270","9330","224400","9330"
"2002-09-10","9370","9450","9290","9320","359810","9320"
"2002-09-11","9420","9440","9360","9420","60900","9420"
"2002-09-12","9370","9430","9260","9430","138860","9430"
"2002-09-13","9240","9300","9160","9210","164330","9210"
"2002-09-17","9360","9660","9360","9600","177060","9600"
"2002-09-18","9360","9590","9250","9590","315530","9590"
"2002-09-19","9790","9950","9650","9650","288850","9650"
"2002-09-20","9500","9690","9440","9480","151860","9480"
"2002-09-24","9350","9350","9190","9320","159720","9320"
"2002-09-25","9200","9390","9110","9210","282080","9210"
"2002-09-26","9340","9420","9320","9360","178350","9360"
"2002-09-27","9490","9620","9450","9600","225320","9600"
"2002-09-30","9400","9500","9310","9330","195260","9330"
"2002-10-01","9300","9300","9130","9140","177460","9140"
"2002-10-02","9330","9330","9080","9080","222200","9080"
"2002-10-03","9080","9130","8930","8950","398420","8950"
"2002-10-04","8900","9050","8870","9010","214280","9010"
"2002-10-07","8900","8910","8670","8700","396060","8700"
"2002-10-08","8680","8820","8680","8720","234140","8720"
"2002-10-09","8720","8720","8530","8560","384870","8560"
"2002-10-10","8490","8530","8230","8500","421480","8500"
"2002-10-11","8620","8650","8510","8570","167170","8570"
"2002-10-15","8720","8910","8720","8900","268280","8900"
"2002-10-16","9040","9040","8850","8860","186560","8860"
"2002-10-17","8890","9080","8890","8990","123390","8990"
"2002-10-18","9120","9160","9080","9140","224790","9140"
"2002-10-21","9080","9150","8930","8930","70690","8930"
"2002-10-22","9020","9020","8720","8750","143520","8750"
"2002-10-23","8670","8800","8520","8770","108980","8770"
"2002-10-24","8800","8800","8570","8640","88950","8640"
"2002-10-25","8620","8780","8620","8730","107390","8730"
"2002-10-28","8700","8830","8590","8830","69190","8830"
"2002-10-29","8710","8800","8700","8710","65600","8710"
"2002-10-30","8650","8870","8600","8810","116380","8810"
"2002-10-31","8890","8900","8610","8620","83830","8620"
"2002-11-01","8650","8780","8590","8780","74010","8780"
"2002-11-05","8900","9050","8850","9020","208380","9020"
"2002-11-06","8990","9120","8930","9000","173330","9000"
"2002-11-07","8960","8980","8880","8910","73400","8910"
"2002-11-08","8840","8850","8690","8690","144050","8690"
"2002-11-11","8620","8620","8460","8470","258270","8470"
"2002-11-12","8400","8560","8380","8530","168860","8530"
"2002-11-13","8540","8540","8410","8470","95350","8470"
"2002-11-14","8430","8540","8320","8360","137940","8360"
"2002-11-15","8470","8600","8430","8590","131530","8590"
"2002-11-18","8490","8500","8320","8390","146660","8390"
"2002-11-19","8330","8440","8270","8400","180410","8400"
"2002-11-20","8400","8550","8380","8490","101530","8490"
"2002-11-21","8600","8710","8590","8690","326960","8690"
"2002-11-22","8820","8840","8740","8760","341880","8760"
"2002-11-25","8800","8970","8770","8910","265210","8910"
"2002-11-26","8930","9000","8780","8830","113770","8830"
"2002-11-27","8760","8950","8760","8890","174270","8890"
"2002-11-28","9050","9240","9040","9210","446870","9210"
"2002-11-29","9200","9320","9150","9200","359920","9200"
"2002-12-02","9220","9280","9130","9200","156860","9200"
"2002-12-03","9250","9350","9180","9180","141030","9180"
"2002-12-04","9100","9140","8990","9020","194990","9020"
"2002-12-05","9000","9050","8910","8910","144840","8910"
"2002-12-06","8850","8940","8840","8940","143910","8940"
"2002-12-09","8840","8970","8830","8870","66580","8870"
"2002-12-10","8750","8890","8740","8870","114370","8870"
"2002-12-11","8910","8920","8720","8720","133510","8720"
"2002-12-12","8740","8780","8710","8730","105060","8730"
"2002-12-13","8700","8710","8520","8550","273150","8550"
"2002-12-16","8510","8600","8450","8460","159110","8460"
"2002-12-17","8600","8620","8510","8580","126790","8580"
"2002-12-18","8540","8540","8310","8350","298500","8350"
"2002-12-19","8300","8450","8280","8450","385370","8450"
"2002-12-20","8420","8450","8330","8430","123100","8430"
"2002-12-24","8470","8590","8410","8590","104460","8590"
"2002-12-25","8530","8560","8490","8550","77480","8550"
"2002-12-26","8580","8730","8580","8720","129800","8720"
"2002-12-27","8720","8720","8660","8720","77740","8720"
"2002-12-30","8570","8620","8520","8520","63860","8520"
